1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000
492954.0785	501846.6057	510816.3612	519854.0996	528960.8832	538137.4876	547391.1604	556714.6817	566109.5581	575581.2557	585114.9569	594705.6136	602944.6062	611020.2252	619102.2307	626917.1712	634411.767	641824.2789	649446.8757	657035.5903	663989.1193
475826.3508	485743.6161	495783.3282	505932.3784	516192.8432	526568.7885	537064.5536	547675.3164	558401.7542	569249.8415	580203.8546	591264.4742	598406.967	605370.7029	612319.3324	618983.5786	625316.2478	631547.7921	637968.3482	644340.8837	650073.7168
458515.642	469297.2197	480247.8608	491350.2886	502608.7852	514030.3206	525615.8402	537364.6276	549275.906	561356.5067	573592.9928	585987.9737	592410.6291	598650.7592	604864.7497	610787.3448	616378.2156	621857.1892	627515.5962	633120.6772	638088.5353
441383.2593	452870.4009	464572.8317	476469.0096	488566.7698	500874.9435	513391.3291	526120.2826	539059.5029	552216.8352	565584.1538	579161.8772	585263.9469	591187.0702	597080.6669	602682.433	607959.3232	613119.0403	618456.0967	623738.8968	628390.2901
424334.6843	436391.088	448708.4684	461260.9977	474061.4198	487119.0934	500429.6849	514002.5986	527834.7265	541934.9516	556302.3806	570932.3491	577099.1627	583095.5766	589065.3776	594747.8523	600116.8475	605368.1219	610799.526	616178.4146	620933.8202
406858.0198	419383.583	432217.089	445328.4432	458736.5132	472450.0164	486464.3393	500792.7494	515433.126	530395.3907	545685.8188	561294.6768	567859.7501	574267.6448	580658.3524	586771.7928	592586.9514	598289.9076	604179.4799	610022.0676	615252.4487
388655.6276	401570.382	414842.6664	428438.353	442383.3357	456684.998	471340.8335	486366.0994	501762.2002	517540.1877	533711.8748	550265.0821	557492.2635	564581.1033	571669.6431	578498.1909	585048.0004	591499.2944	598147.5757	604760.4679	610778.1208
369693.3446	382921.5142	396559.6716	410570.2502	424986.5668	439814.7246	455056.8507	470728.1553	486836.4039	503394.0374	520415.7765	537891.637	545958.3548	553912.4784	561891.3828	569636.5392	577127.8453	584544.348	592172.8648	599786.1429	606829.3535
350433.5703	363885.0286	377799.4199	392136.7314	406937.435	422207.0961	437954.5159	454193.3225	470939.9113	488208.5103	506014.1988	524354.0452	533351.3301	542269.3788	551245.2196	560023.2407	568578.4656	577093.0501	585840.2856	594602.2763	602829.0158
331887.1248	345443.3012	359510.0793	374046.2609	389098.296	404672.414	420784.8093	437447.1162	454684.8937	472514.4979	490950.0386	509998.3484	519934.0987	529831.2006	539825.2162	549666.059	559321.5686	568979.2406	578896.6438	588867.9045	598347.9306
315042.3236	328564.9479	342634.1978	357208.8741	372339.3277	388033.7157	404314.7921	421192.7253	438700.742	456857.3069	475675.4767	495171.6109	505984.2542	516804.5878	527764.2366	538621.797	549337.1962	560102.9686	571161.9599	582320.7407	593039.5884
300879.0818	314215.3139	328115.7105	342539.8722	357539.0611	373124.3224	389322.3619	406143.1583	423623.8035	441784.1626	460637.4348	480205.4705	491781.3358	503414.6736	515229.4834	526996.3478	538668.538	550440.2846	562544.4585	574797.448	586665.8131
289845.6882	302839.6107	316392.8312	330466.0523	345108.0147	360333.1414	376168.3848	392624.9589	409738.699	427529.5609	446012.5587	465208.6439	477406.2554	489712.185	502238.7505	514771.433	527259.5577	539893.759	552903.8705	566111.4622	578990.8066
281695.7781	294194.5245	307225.4715	320750.2811	334812.1242	349428.7534	364623.6656	380410.322	396818.4583	413866.6733	431573.0467	449951.3452	462632.1923	475471.7213	488567.4985	501721.6847	514883.0427	528233.1431	542005.4515	556021.901	569766.5949
275833.0681	287686.3871	300025.4226	312812.4097	326082.8227	339857.2856	354152.8857	368985.8049	384376.1474	400340.0314	416899.11	434055.4503	447097.4381	460347.2623	473886.4157	487534.077	501241.9593	515178.0922	529584.4612	544279.6036	558760.3052
271047.5372	282118.0065	293615.0645	305500.9282	317802.9393	330543.6092	343732.4311	357387.7324	371519.2282	386140.1093	401274.5701	416912.5328	430229.2695	443802.4369	457699.0808	471753.8446	485924.2493	500363.1344	515321.8105	530614.6678	545754.8756
266215.2046	276391.3254	286929.6621	297791.6914	308997.7253	320570.7146	332513.1325	344843.9331	357564.2338	370684.3785	384228.8479	398178.6375	411709.0528	425544.5603	439741.8684	454148.1453	468728.7011	483622.3632	499086.8474	514934.5329	530699.1601
260440.3383	269661.8939	279183.5923	288965.4264	299022.8408	309377.4484	320026.7963	330988.2412	342257.8824	353843.5145	365767.0923	378006.333	391697.246	405741.9376	420192.2559	434904.5267	449852.6609	465165.0512	481100.2517	497473.0097	513841.5945
253211.6371	261482.328	269999.1363	278719.9012	287657.7592	296831.0549	306235.4339	315884.1118	325772.4099	335905.8113	346301.0956	356939.0631	370731.2816	384925.0327	399572.881	414537.3467	429800.6286	445485.6604	461845.1732	478701.7567	495641.3683
244776.5818	252171.8146	259769.9818	267526.5562	275454.3036	283566.8027	291860.8972	300343.7283	309013.0501	317872.0467	326931.306	336179.3964	349990.1811	364246.1327	379004.0829	394131.3742	409617.0679	425583.1696	442271.3677	459516.5551	476933.5971
235606.5717	242258.3445	249081.1938	256028.4589	263113.6113	270344.5364	277721.9995	285245.9474	292918.3568	300739.9023	308715.6068	316844.4071	330575.663	344787.9317	359543.5044	374714.605	390294.8279	406408.646	423283.3462	440768.9149	458508.2902
226458.2789	232529.3714	238749.3633	245070.1269	251505.9175	258058.7974	264735.3137	271528.2439	278443.8636	285479.9828	292638.3759	299928.5327	313471.352	327518.9324	342137.5578	357205.5092	372717.9643	388803.325	405673.3646	423193.489	441031.7399
217954.4689	223613.4033	229406.6071	235285.3474	241264.0846	247339.5749	253525.0923	259807.2133	266195.3462	272684.035	279275.1405	285987.1058	299228.7489	312983.3678	327317.8855	342118.1946	357377.8247	373228.8486	389867.8919	407174.0207	424835.9209
210370.1884	215751.0156	221256.524	226837.9334	232509.3958	238263.2309	244119.1582	250059.2047	256094.2398	262215.375	268427.5787	274755.5422	287575.3953	300899.2255	314790.9385	329144.7882	343950.0511	359341.1125	375500.0833	392316.8992	409496.653
203806.4782	208998.9141	214309.4172	219689.2916	225152.1964	230687.1107	236318.7279	242026.7233	247821.5616	253691.1054	259645.7316	265712.8766	277977.2471	290718.8891	303995.4015	317709.1332	331843.5011	346533.1765	361946.36	377980.6603	394354.3163
198054.1707	203083.1796	208224.5217	213429.0149	218710.4069	224055.4957	229491.0628	234996.9827	240581.7559	246230.7822	251960.4197	257797.1016	269357.3395	281352.0396	293830.8128	306702.239	319944.0327	333689.0478	348091.6176	363054.4094	378307.8377
192830.651	197666.1858	202607.5661	207604.009	212670.543	217793.0231	222996.2969	228263.1531	233599.0032	238988.1537	244451.7543	250011.6861	260715.5971	271798.2163	283301.2376	295136.3447	307277.4287	319853.574	333005.0104	346637.6968	360495.4115
187749.4385	192342.8284	197034.6236	201771.4143	206570.5572	211418.3367	216333.6253	221304.359	226332.3717	231402.5683	236538.3023	241754.6365	251483.0327	261527.1396	271922.2599	282579.8054	293472.69	304724.6717	316462.0376	328593.1968	340877.5709
182421.8503	186728.4698	191125.7437	195557.0738	200042.6072	204570.5673	209150.4764	213776.8267	218448.0545	223151.4623	227909.0416	232728.4215	241413.1288	250349.4046	259568.6813	268979.0311	278555.5554	288415.5305	298672.0891	309235.9782	319884.7704
176464.0403	180498.2982	184617.3307	188762.1075	192954.3509	197185.8982	201455.7219	205764.7306	210108.7446	214478.8484	218892.1863	223350.7518	231003.4885	238848.7771	246916.5744	255110.1322	263408.8358	271922.7068	280753.7672	289815.23	298903.9105
169568.7791	173412.4192	177338.8082	181288.5898	185282.1388	189316.6283	193381.6184	197482.7543	201614.4591	205772.3969	209965.8966	214195.2886	220900.1053	227747.7931	234768.6138	241861.1056	249009.6112	256316.3514	263875.2912	271602.1408	279312.3472
161637.14	165428.1128	169305.2129	173211.8584	177163.0335	181162.7049	185194.2191	189265.1634	193369.9474	197508.8844	201681.6746	205892.4097	211786.968	217785.7611	223920.1254	230085.4049	236270.0994	242568.2173	249069.3464	255691.4152	262266.1954
152732.8876	156637.754	160639.0906	164686.6787	168785.7595	172948.1157	177155.5126	181414.1531	185719.8567	190077.0629	194475.3119	198928.7646	204183.9396	209515.6608	214956.1493	220400.0597	225838.0969	231355.686	237042.0041	242816.5967	248523.996
143298.4108	147437.6269	151690.7888	156016.7417	160408.4324	164885.4837	169432.4415	174051.6342	178741.4829	183509.6852	188336.6817	193251.6976	198032.8083	202871.8342	207801.2085	212717.3076	217611.0486	222559.0352	227653.3085	232814.447	237895.9387
133861.3689	138287.9997	142852.3184	147523.6429	152282.4194	157155.1076	162132.4955	167211.8162	172394.997	177691.925	183076.5906	188596.1909	193051.5728	197553.3861	202133.3818	206691.6476	211217.7124	215779.3233	220473.7053	225222.1004	229883.2671
125026.1168	129705.347	134548.0684	139533.5807	144632.4116	149875.6722	155261.9216	160783.7266	166446.8413	172262.0555	178200.9987	184328.0201	188571.0586	192854.2717	197207.9935	201536.9877	205828.8895	210142.9751	214582.3448	219069.0587	223464.1754
117277.4327	122103.6143	127114.7593	132297.7942	137617.9945	143107.8315	148772.9709	154602.9938	160606.9602	166794.8605	173140.9677	179721.7095	183828.8403	187973.6298	192184.5643	196370.9112	200519.1491	204681.0302	208964.3987	213292.9097	217527.853
110699.0194	115536.5708	120571.0427	125793.6792	131169.512	136728.7171	142481.9013	148417.6569	154547.0722	160877.4826	167390.2796	174166.639	178189.9889	182251.5047	186377.687	190481.5432	194549.6908	198627.8389	202826.0194	207070.7291	211222.4792
105186.1013	109887.825	114785.576	119871.2183	125114.1411	130538.6281	136157.1417	141959.1817	147956.0284	154150.6541	160534.7719	167186.1915	171160.2148	175175.5942	179256.975	183320.1214	187353.1786	191397.7619	195562.4653	199778.1983	203904.7978
100284.6974	104721.6684	109342.255	114136.117	119080.0396	124189.9734	129477.6186	134934.7409	140571.1536	146384.7681	152378.5799	158621.819	162580.2347	166586.2961	170663.0344	174728.6453	178773.2578	182836.5164	187021.8525	191266.1418	195429.6881
95445.06041	99518.97679	103756.4922	108143.6616	112665.8306	117329.8398	122145.1303	127106.5134	132221.292	137482.9824	142904.4689	148545.6318	152524.9209	156561.98	160678.493	164795.7498	168905.0885	173046.2385	177314.2683	181653.3511	185926.2728
90235.19142	93892.1223	97690.06978	101611.5641	105649.8558	109803.5853	114079.6742	118476.1671	122997.5715	127634.73	132407.2485	137368.8529	141401.6843	145506.7862	149704.7427	153921.4152	158147.717	162425.1358	166838.351	171339.6932	175796.8568
84369.14918	87604.66352	90960.53922	94417.08329	97973.21099	101621.6419	105367.5026	109211.663	113156.1724	117191.4454	121339.5487	125653.9165	129764.1473	133965.8354	138278.7019	142635.1817	147023.7553	151488.8399	156104.1063	160830.3851	165542.7813
78011.11027	80862.1983	83817.14921	86855.64811	89979.60543	93178.4324	96456.41194	99816.5195	103258.9412	106775.5177	110386.9574	114151.6456	118342.7724	122648.2402	127087.1883	131600.2711	136172.1928	140850.8703	145699.7523	150687.9265	155699.8623
71539.59779	74071.3431	76695.24033	79391.71589	82163.33952	84998.50548	87901.44624	90876.45276	93922.48735	97033.93301	100227.5219	103569.8347	107828.4451	112226.217	116782.0217	121445.6208	126197.5764	131089.3364	136176.0347	141434.2484	146758.9242
65423.13448	67711.72852	70085.10553	72525.20722	75033.82985	77599.88102	80227.96718	82923.08587	85683.5198	88506.51223	91403.73855	94450.75536	98754.44793	103221.6978	107871.3714	112662.2441	117571.3055	122653.0938	127956.9797	133465.7936	139085.0375
60084.56193	62206.51179	64409.49492	66677.09259	69009.91916	71398.08878	73846.62602	76360.92827	78939.00162	81580.6174	84292.6972	87158.49198	91484.96423	95996.53056	100712.1534	105598.54	110630.3069	115864.202	121346.6088	127064.8945	132934.0852
55637.10143	57658.54649	59760.16512	61926.93629	64158.52028	66446.40468	68795.86189	71212.62231	73694.69577	76243.76621	78862.99545	81641.1003	85970.24994	90501.46999	95253.69714	100199.9583	105313.8163	110653.0078	116263.407	122134.9294	128190.4616
52015.5026	53988.33856	56042.73385	58164.64406	60353.37334	62601.64911	64914.69939	67298.68257	69751.7944	72276.91741	74874.75901	77636.7358	81946.11629	86468.6141	91222.79045	96186.09626	101332.293	106718.5535	112392.2068	118343.5477	124501.3325
48962.87926	50919.99259	52961.55748	55074.11504	57257.29533	59504.85888	61821.67049	64214.45495	66681.70664	69226.85206	71849.42341	74640.47929	78894.70522	83366.09024	88072.31145	92993.40555	98104.43948	103460.2226	109110.7929	115044.7467	121194.9106
46113.2935	48064.30883	50103.18711	52216.82393	54405.75586	56664.62048	58997.6336	61412.17102	63907.07991	66485.81997	69147.81141	71980.48076	76121.48898	80475.82619	85059.72036	89854.28503	94836.85699	100057.9831	105570.7993	111360.552	117362.9826
43130.49925	45061.87035	47083.86708	49183.69793	51363.19206	53617.77666	55950.80084	58370.26422	60875.3626	63469.23904	66151.97927	69004.05308	72951.12357	77099.46986	81463.36531	86023.96407	90761.6851	95721.06068	100957.8117	106452.8983	112144.6412
39729.43263	41605.33658	43572.65397	45619.06372	47747.79005	49955.02523	52243.13923	54620.57813	57086.82099	59644.52481	62294.83962	65108.32427	68764.36669	72601.99037	76633.17772	80838.724	85202.70107	89762.33906	94574.50249	99615.93416	104828.1272
35791.83424	37562.6816	39422.71185	41360.35178	43380.05013	45478.74573	47657.82802	49925.8831	52282.55661	54729.99022	57270.44013	59962.44878	63231.99985	66657.52905	70248.61728	73985.88839	77857.30776	81892.22132	86146.52507	90593.78977	95179.89756
31365.1993	32978.5322	34675.31184	36445.02173	38292.94571	40216.71757	42216.84717	44301.67812	46470.88194	48726.1467	51070.5831	53549.86093	56358.63811	59294.57412	62364.9645	65550.89116	68844.06734	72266.17392	75869.75515	79626.97838	83489.53276
26627.5878	28038.95736	29524.75368	31075.7775	32697.64012	34388.57449	36148.38747	37984.79608	39897.37067	41887.44708	43958.56177	46144.00542	48453.27112	50860.68451	53371.54463	55968.23127	58645.70665	61418.8985	64334.81025	67366.2632	70471.9428
21843.51609	23025.4919	24270.50452	25570.82612	26931.89127	28352.40597	29831.68922	31376.52185	32986.29628	34662.09398	36407.41735	38244.7998	40057.84261	41942.51998	43902.51514	45922.28775	47999.31482	50143.1185	52393.5985	54726.08131	57106.86592
17287.24103	18233.07994	19229.4966	20270.26381	21360.23805	22498.4696	23684.00603	24922.50628	26213.1748	27556.912	28956.81399	30426.94067	31784.62706	33191.72884	34650.70698	36148.62842	37684.67745	39264.44418	40920.01412	42630.50688	44369.76329
13193.31329	13916.18188	14677.46345	15472.34446	16304.86393	17174.30929	18079.64309	19025.35691	20010.51834	21035.89003	22103.94857	23222.69847	24192.38969	25194.30663	26230.03884	27289.43387	28372.65642	29482.70059	30644.00292	31840.03611	33051.48608
9711.519721	10239.22117	10794.53297	11373.88491	11980.42349	12613.59878	13272.42633	13960.3043	14676.24969	15420.90863	16196.08546	17005.86996	17666.80286	18347.61525	19049.30619	19764.3518	20493.34373	21237.72937	22015.13914	22813.30162	23618.64544
6901.528905	7269.838721	7656.943509	8060.300715	8482.219972	8922.269887	9379.602783	9856.677163	10352.54992	10867.76014	11403.50867	11961.60873	12392.04266	12834.08485	13288.35113	13749.56604	14218.39686	14695.46665	15192.83805	15701.93697	16213.67341
4741.3188	4987.374478	5245.556352	5514.124838	5794.685452	6086.901513	6390.097543	6705.980593	7033.717761	7373.747344	7726.797751	8093.510271	8361.75556	8636.420535	8917.880791	9202.628158	9491.227374	9783.916633	10088.53125	10399.41914	10710.76549
3154.394	3311.972718	3476.974048	3648.253733	3826.873962	4012.578567	4204.86357	4404.871108	4611.917268	4826.347366	5048.560443	5278.68129	5438.926255	5602.533139	5769.730856	5938.300344	6108.646896	6280.857268	6459.769557	6641.860135	6823.568013
2036.286405	2133.164932	2234.35703	2339.138686	2448.181743	2561.298804	2678.135049	2799.429778	2924.656385	3054.077865	3187.886845	3326.03164	3417.953076	3511.539783	3606.932505	3702.792285	3799.374984	3896.72173	3997.675047	4100.154154	4202.066266
1278.230779	1335.487986	1395.12594	1456.703729	1520.629411	1586.772171	1654.894864	1725.462279	1798.091331	1872.975551	1950.191523	2029.659465	2080.375012	2131.868341	2184.227354	2236.679104	2289.366742	2342.323584	2397.139489	2452.649656	2507.670761
781.9922158	814.5590954	848.3733421	883.1764319	919.2073287	956.3791681	994.5407348	1033.976858	1074.422509	1116.015379	1158.774436	1202.640748	1229.591231	1256.882044	1284.56908	1312.224257	1339.917271	1367.681581	1396.36324	1425.344578	1453.98026
467.3432004	485.1814838	503.6392324	522.5704786	542.1106645	562.2049573	582.7609486	603.9493175	625.5946576	647.7917842	670.5356416	693.7940827	707.6018603	721.547325	735.6665569	749.731483	763.7696079	777.8127294	792.288287	806.8869332	821.268403
273.4891101	282.8977632	292.5970617	302.5076619	312.7041185	323.1535134	333.8014929	344.7483367	355.8823769	367.2669095	378.8898689	390.7382759	397.5612291	404.4342431	411.3808083	418.2837365	425.1493087	432.0047743	439.0540941	446.1519797	453.124575
157.0940609	161.8668571	166.7677183	171.7551613	176.8691609	182.0909124	187.3895107	192.8228514	198.3222036	203.9286058	209.6303082	215.4247806	218.6744154	221.939253	225.234599	228.5022455	231.7395537	234.9678201	238.277969	241.6069937	244.8686321
88.78558721	91.1068959	93.48063782	95.88599437	98.34389274	100.8441124	103.3695886	105.9532261	108.5539287	111.1975913	113.8751265	116.5883859	118.0767998	119.5680747	121.0721215	122.560931	124.0292795	125.492619	126.9879312	128.4908742	129.9598073
49.49229973	50.56771391	51.66269891	52.76726543	53.89212767	55.0320087	56.17771239	57.34767592	58.51791824	59.70437668	60.90078526	62.11008842	62.76232317	63.41386781	64.0710687	64.72084377	65.3581584	65.99357916	66.64003991	67.2899831	67.92382184
27.27670212	27.74502352	28.21976611	28.69638161	29.18023796	29.66875811	30.15707834	30.65539615	31.14999449	31.65046347	32.15277653	32.65956501	32.93011084	33.19943646	33.47154885	33.74050748	34.00237789	34.2640513	34.52866476	34.79517174	35.05458436
14.89869148	15.08494991	15.27292045	15.46066686	15.65081914	15.84219822	16.03226333	16.22658835	16.41744964	16.61050337	16.80328141	16.99770712	17.10153132	17.20442007	17.30886516	17.41224038	17.51178396	17.61182227	17.71204086	17.8134472	17.9120157
8.084245871	8.146985933	8.210026393	8.272620912	8.336026387	8.399747824	8.462464793	8.527191485	8.58962936	8.653056564	8.716008796	8.779742035	8.814580727	8.848850629	8.884078261	8.919132281	8.952199391	8.985914076	9.019095034	9.053071844	9.086085313
4.367969819	4.380987624	4.394023318	4.406837894	4.420014015	4.433370494	4.446219264	4.460174748	4.472863188	4.486156428	4.499204915	4.512768219	4.521149963	4.529228871	4.537927324	4.546770195	4.554619934	4.56304235	4.570903725	4.579303628	4.587493336
